Commit,Target Amount,Amount,Expiration Date,Name,Client Batch Quarter
AUTOREN / EVERGREEN,18168.87,18168.87,07/01/2013,Opp-PX SERVICES SA-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,2775.28,2775.28,07/01/2013,Opp-PROLOGIST AG-Q3 2013-1,Q3 2013
,2130.3,2130.3,07/01/2013,Opp-PIAGET-Q3 2013-1,Q3 2013
,9095.14,9095.14,07/01/2013,Opp-PANGAS AG-Q3 2013-1,Q3 2013
,3913.11,3913.11,07/01/2013,Opp-OÖ.Gebietskrankenkasse-Q3 2013-1,Q3 2013
,5576.7,5576.7,07/01/2013,Opp-OEM/NAGRAVISION S.A.-Q3 2013-1,Q3 2013
,248.64,248.64,07/01/2013,Opp-Nahversorgung Gams TRU-Q3 2013-1,Q3 2013
,6164.69,6164.69,07/01/2013,Opp-B/INTESA SANPAOLO PRIVATE BANK-Q3 2013-1,Q3 2013
,29370.6,29370.6,07/01/2013,Opp-NE/S.TRAIT.INFORMATION-Q3 2013-1,Q3 2013
,5118.33,5118.33,07/01/2013,Opp-NAGRAVISION S.A.    SYSTEM X-Q3 2013-1,Q3 2013
,248.64,248.64,07/01/2013,Opp-Maria Kienberger   TRU-Q3 2013-1,Q3 2013
At Risk,2127.69,2127.69,07/01/2013,Opp-MEDIAPRESSE - PUB SA-Q3 2013-1,Q3 2013
,2175.01,2175.01,07/01/2013,Opp-MAGNA STEYR FUEL SYSTE-Q3 2013-1,Q3 2013
,6114.02,6114.02,07/01/2013,Opp-Landeshypo.N-Q3 2013-1,Q3 2013
,15457.13,15457.13,07/01/2013,Opp-Lam Research AG-Q3 2013-1,Q3 2013
,6936.88,6936.88,07/01/2013,Opp-BATA SCHUH AG-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,1480.64,1480.64,07/01/2013,Opp-LAUFEN BATHROOMS AG-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,5135.81,5135.81,07/01/2013,Opp-LANXESS INTERNATIONAL SA-Q3 2013-1,Q3 2013
,248.64,248.64,07/01/2013,Opp-Konsumverein Schni TRU-Q3 2013-1,Q3 2013
,745.92,745.92,07/01/2013,Opp-Konsumverein Hchs TRU-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,1468.15,1468.15,07/01/2013,Opp-BOLTON SWISS SA-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,2977.76,2977.76,07/01/2013,Opp-KERAMIK LAUFEN AG-Q3 2013-1,Q3 2013
,248.08,248.08,07/01/2013,Opp-KARE Wr. Neudorf-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,1559.53,1559.53,07/01/2013,Opp-BUERGI AG BRENN- + TREIBSTOFFE-Q3 2013-1,Q3 2013
,1746.85,1746.85,07/01/2013,Opp-BauWelt Sochor-Q3 2013-1,Q3 2013
,3916.4,3916.4,07/01/2013,Opp-ISV/AG BUERO 70-Q3 2013-1,Q3 2013
,316.32,316.32,07/01/2013,Opp-IBS Inst.f.Brandschutz-Q3 2013-1,Q3 2013
,6691.05,6691.05,07/01/2013,Opp-Hydro Alum. Nenzing-Q3 2013-1,Q3 2013
Stretch,8393.31,8393.31,07/01/2013,Opp-HONDA MOTOR EUROPE LIMITED-Q3 2013-1,Q3 2013
,13594.11,13594.11,07/01/2013,Opp-HOERMANN (SCHWEIZ) AG-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,332.72,332.72,07/01/2013,Opp-HERMES TRANSPORT AG-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,614.13,614.13,07/01/2013,Opp-COFES SA-Q3 2013-1,Q3 2013
,1160.42,1160.42,07/01/2013,Opp-Containex-Q3 2013-1,Q3 2013
,544.9,544.9,07/01/2013,Opp-GRUNDFOS PUMPEN AG-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,2233.98,2233.98,07/01/2013,Opp-GIGA SERVICES SA-Q3 2013-1,Q3 2013
,3630.28,3630.28,07/01/2013,Opp-DELAVAL AG-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,2028,2028,07/01/2013,Opp-DELTA STAHLROEHRE BV-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,71487.38,75651.53,07/01/2013,Opp-FL/LANDESVERWALTUNG-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,1638.4,1638.4,07/01/2013,Opp-DUENKI A. TRANSPORTUNTERNEHMEN-Q3 2013-1,Q3 2013
,827.86,827.86,07/01/2013,Opp-Erzdizese Wien-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,1397,1397,07/01/2013,Opp-EVOLUTIS SARL-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,716.89,716.89,07/01/2013,Opp-ESH MANAGEMENT SA-Q3 2013-1,Q3 2013
,14.31,14.31,07/02/2013,"Opp-SCHNABL ANDREAS, ING-Q3 2013-2",Q3 2013
,11.47,11.47,07/04/2013,Opp-REWE INTERNATIONAL TRU-Q3 2013-2,Q3 2013
,15209,15209,07/04/2013,Opp-FTAGN/OSYS AG-2013 Q3-1,Q3 2013
,19,19,07/05/2013,Opp-Geb Krankenk NÖ-Q3 2013-2,Q3 2013
,,,07/06/2013,Opp-WSK BANK AG-Q3 2013-2,Q3 2013
,188.92,188.92,07/06/2013,Opp-AT&S Hinterberg-Q3 2013-2,Q3 2013
